fips,county,ECI_Number,ECI_Area_Name,key
19035,Cherokee,1,"Plymouth: Cherokee, Lyon, Plymouth, Sioux Counties",County1
19119,Lyon,1,"Plymouth: Cherokee, Lyon, Plymouth, Sioux Counties",County2
19149,Plymouth,1,"Plymouth: Cherokee, Lyon, Plymouth, Sioux Counties",County3
19167,Sioux,1,"Plymouth: Cherokee, Lyon, Plymouth, Sioux Counties",County4
19041,Clay,2,"Lakes Area ECI: Clay, Dickinson, O'Brien, Osceola Counties",County1
19059,Dickinson,2,"Lakes Area ECI: Clay, Dickinson, O'Brien, Osceola Counties",County2
19141,O'Brien,2,"Lakes Area ECI: Clay, Dickinson, O'Brien, Osceola Counties",County3
19143,Osceola,2,"Lakes Area ECI: Clay, Dickinson, O'Brien, Osceola Counties",County4
19063,Emmet,3,"Early Childhood IA North Central IA: Emmet, Kossuth, Palo Alto, Winnebago Counties",County1
19109,Kossuth,3,"Early Childhood IA North Central IA: Emmet, Kossuth, Palo Alto, Winnebago Counties",County2
19147,Palo Alto,3,"Early Childhood IA North Central IA: Emmet, Kossuth, Palo Alto, Winnebago Counties",County3
19189,Winnebago,3,"Early Childhood IA North Central IA: Emmet, Kossuth, Palo Alto, Winnebago Counties",County4
19033,Cerro Gordo,4,"Cerro Gordo, Hancock, Worth Counties",County2
19081,Hancock,4,"Cerro Gordo, Hancock, Worth Counties",County3
19195,Worth,4,"Cerro Gordo, Hancock, Worth Counties",County4
19037,Chickasaw,5,"FMC: Chickasaw, Floyd, Mitchell Counties",County2
19067,Floyd,5,"FMC: Chickasaw, Floyd, Mitchell Counties",County3
19131,Mitchell,5,"FMC: Chickasaw, Floyd, Mitchell Counties",County4
19005,Allamakee,6,"HAWC Partnerships for Children: Allamakee, Clayton, Howard, Winneshiek Counties",County1
19043,Clayton,6,"HAWC Partnerships for Children: Allamakee, Clayton, Howard, Winneshiek Counties",County2
19089,Howard,6,"HAWC Partnerships for Children: Allamakee, Clayton, Howard, Winneshiek Counties",County3
19191,Winneshiek,6,"HAWC Partnerships for Children: Allamakee, Clayton, Howard, Winneshiek Counties",County4
19019,Buchanan,7,"Building Directions for Families: Buchanan, Delaware, Fayette Counties",County2
19055,Delaware,7,"Building Directions for Families: Buchanan, Delaware, Fayette Counties",County3
19065,Fayette,7,"Building Directions for Families: Buchanan, Delaware, Fayette Counties",County4
19017,Bremer,8,"Together 4 Families: Bremer, Butler, Franklin, Grundy Counties",County1
19023,Butler,8,"Together 4 Families: Bremer, Butler, Franklin, Grundy Counties",County2
19069,Franklin,8,"Together 4 Families: Bremer, Butler, Franklin, Grundy Counties",County3
19075,Grundy,8,"Together 4 Families: Bremer, Butler, Franklin, Grundy Counties",County4
19079,Hamilton,9,"Building Families: Hamilton, Humboldt, Wright Counties",County2
19091,Humboldt,9,"Building Families: Hamilton, Humboldt, Wright Counties",County3
19197,Wright,9,"Building Families: Hamilton, Humboldt, Wright Counties",County4
19025,Calhoun,10,"Linking Families and Communities: Calhoun, Pocahontas, Webster Counties",County2
